Frequencia1,Frequencia2,Frequencia3,Frequencia4,D1,D2,Indefinido,Metal,Vidro,Plastico,Papel
58314.96,103277.30,48768.59,62433.43,23,37,0,0,0,0,1
58255.09,103826.23,48736.73,61773.81,23,27,0,0,0,0,1
58027.23,102874.43,48703.55,61215.69,15,25,0,0,0,0,1
58326.77,104039.66,48757.50,61584.91,15,24,0,0,0,0,1
58111.45,103911.26,48676.16,60859.31,27,23,0,0,0,0,1
57717.27,103671.98,48701.76,61380.03,33,4,0,0,0,0,1
57758.07,103232.71,48781.98,61476.13,21,34,0,0,0,0,1
57974.64,104567.45,48716.89,62162.09,30,34,0,0,0,0,1
57710.40,101973.07,48893.72,61031.45,49,17,0,0,0,0,1
57832.44,100946.70,48824.04,61011.61,34,19,0,0,0,0,1
57967.79,101532.37,48910.89,60098.62,44,17,0,0,0,0,1
57957.46,101413.61,48737.59,60819.19,34,19,0,0,0,0,1
58083.74,103453.16,48706.79,61586.49,51,12,0,0,0,0,1
57917.98,102781.52,48804.38,61144.98,35,14,0,0,0,0,1
56785.80,104625.96,48925.65,63672.27,49,17,0,0,0,0,1
56177.00,103875.52,48869.93,64657.84,46,17,0,0,0,0,1
55102.44,104418.51,48763.20,64833.09,45,17,0,0,0,0,1
55057.25,103135.19,48880.07,65264.54,47,17,0,0,0,0,1
52707.83,100607.96,48524.28,60363.13,8,13,0,0,0,0,1
52354.06,101297.05,48522.09,59484.35,8,20,0,0,0,0,1
52384.77,101644.08,48618.79,59961.78,8,19,0,0,0,0,1
51914.49,101191.58,48483.49,59555.90,8,14,0,0,0,0,1
51800.81,100697.52,48269.73,59533.19,8,13,0,0,0,0,1
50794.49,99892.02,48154.24,58692.08,8,14,0,0,0,0,1
50794.49,99892.02,48154.24,58692.08,8,14,0,0,0,0,1
57229.67,103909.55,49005.16,64347.59,14,7,0,0,0,0,1
57272.98,103269.74,48982.12,64232.23,14,7,0,0,0,0,1
57177.18,104337.05,48953.85,65320.98,14,7,0,0,0,0,1
57214.46,103454.34,49094.38,63874.01,14,7,0,0,0,0,1
57590.87,99775.87,48607.02,61071.85,83,17,0,0,1,0,0
57391.57,99339.05,48543.71,60340.84,83,17,0,0,1,0,0
57539.67,97788.27,48461.10,60884.37,33,17,0,0,1,0,0
57468.04,98017.86,48449.86,60575.48,33,17,0,0,1,0,0
57564.19,99015.31,48402.06,61215.11,33,17,0,0,1,0,0
57602.84,99746.65,48292.73,60772.56,33,17,0,0,1,0,0
57520.04,97179.34,48473.50,59847.83,20,17,0,0,1,0,0
56482.67,102305.54,48150.57,59275.79,40,17,0,0,1,0,0
56453.20,102608.55,48129.96,58711.20,39,17,0,0,1,0,0
56237.22,101100.95,48246.38,58770.87,52,17,0,0,1,0,0
56313.62,101883.55,48156.40,59988.66,47,17,0,0,1,0,0
56567.94,103053.62,48838.50,63865.30,18,17,0,0,1,0,0
56775.96,103708.94,48838.04,64597.68,18,17,0,0,1,0,0
56417.12,102035.84,48790.38,63831.05,18,17,0,0,1,0,0
56406.23,102797.74,48886.45,64978.30,18,17,0,0,1,0,0
56462.94,103291.27,48784.74,64423.21,18,17,0,0,1,0,0
57501.42,104715.21,48870.89,64723.89,13,20,0,0,1,0,0
57290.90,104373.78,48848.48,62737.89,13,20,0,0,1,0,0
57557.48,104933.40,48907.91,63260.59,13,20,0,0,1,0,0
57386.66,106134.95,48876.98,64160.65,13,20,0,0,1,0,0
57457.24,104927.83,49070.27,63085.73,13,20,0,0,1,0,0
57507.04,106133.92,48891.10,64031.69,13,20,0,0,1,0,0
57451.50,105362.86,48892.60,63895.74,13,20,0,0,1,0,0
55766.34,102785.49,48819.63,63999.37,18,7,0,0,1,0,0
55175.30,102648.13,48862.27,65272.93,29,6,0,0,1,0,0
55325.70,103146.60,48788.11,63797.78,27,6,0,0,1,0,0
55303.65,102592.73,48824.67,64636.43,20,6,0,0,1,0,0
55235.70,103933.35,48721.75,64117.64,29,6,0,0,1,0,0
54998.43,102535.24,48777.95,63999.78,21,7,0,0,1,0,0
55074.62,103257.88,48731.73,64500.36,21,7,0,0,1,0,0
55046.04,101610.95,48812.91,64637.45,27,7,0,0,1,0,0
55140.61,102775.96,48766.77,64310.82,20,13,0,0,1,0,0
55268.81,101903.59,48815.81,63999.36,20,13,0,0,1,0,0
55231.90,102087.45,48771.07,65315.21,20,13,0,0,1,0,0
55005.19,102169.95,48732.51,64774.52,20,13,0,0,1,0,0
56990.79,102771.37,48939.68,60703.28,3,14,0,0,0,1,0
57085.66,101730.50,48946.55,61044.59,3,7,0,0,0,1,0
57103.15,101991.45,48907.68,60786.07,3,7,0,0,0,1,0
57027.07,102338.45,48969.45,60556.08,3,7,0,0,0,1,0
57374.73,103631.62,49170.40,63982.36,40,17,0,0,0,1,0
55926.43,88402.89,48269.26,61375.40,8,23,0,0,0,1,0
56163.92,88455.98,48173.83,61481.41,9,22,0,0,0,1,0
55862.35,86750.71,48130.65,62422.87,9,22,0,0,0,1,0
57060.17,103037.98,48953.36,63991.07,32,5,0,0,0,1,0
57149.87,103649.95,48950.72,64363.58,31,5,0,0,0,1,0
56960.45,103322.60,48958.27,64514.39,32,5,0,0,0,1,0
56992.55,103301.48,48847.84,64559.85,30,5,0,0,0,1,0
57044.93,102512.82,48891.89,64583.70,7,2,0,0,0,1,0
57225.28,103471.12,48888.31,63827.96,9,2,0,0,0,1,0
57061.27,104930.67,48813.79,63539.37,9,2,0,0,0,1,0
57030.13,102224.39,48867.57,65512.36,9,2,0,0,0,1,0
57211.61,103511.22,48915.83,64479.05,8,6,0,0,0,1,0
57009.68,102444.23,48956.36,63742.59,9,2,0,0,0,1,0
57185.45,102936.02,48879.36,64051.00,9,6,0,0,0,1,0
56978.11,102857.20,48920.91,64355.86,9,6,0,0,0,1,0
57070.71,103370.02,48880.69,64269.13,9,6,0,0,0,1,0
56983.17,104212.69,48841.24,64284.13,9,6,0,0,0,1,0
56987.67,104100.28,48841.87,63969.11,13,6,0,0,0,1,0
56858.62,104374.42,48814.50,63253.21,13,6,0,0,0,1,0
56853.40,103491.05,48852.42,63345.99,13,6,0,0,0,1,0
56963.30,103373.72,48858.80,64326.80,13,6,0,0,0,1,0
56893.72,104282.38,48833.37,63638.18,13,6,0,0,0,1,0
57074.85,102580.24,48658.65,64106.95,9,7,0,0,0,1,0
56924.19,103416.86,48904.64,64248.96,9,7,0,0,0,1,0
56895.87,103331.74,48647.34,64798.14,9,7,0,0,0,1,0
56990.99,103801.26,48747.05,64110.65,9,7,0,0,0,1,0
57071.76,103522.93,48703.18,63834.39,9,7,0,0,0,1,0
57194.41,103807.53,48745.43,64965.34,9,7,0,0,0,1,0
56967.34,105205.63,49135.75,61865.28,16,13,0,0,0,1,0
57038.25,105624.45,49122.69,62633.64,16,13,0,0,0,1,0
56871.23,105887.24,49068.80,62413.53,16,13,0,0,0,1,0
56951.32,105727.14,49013.18,62110.75,16,13,0,0,0,1,0
56826.18,105620.95,49062.05,61700.87,16,13,0,0,0,1,0
56764.38,105996.42,49077.63,62747.34,16,13,0,0,0,1,0
56960.06,102039.73,48538.85,63589.80,13,5,0,0,0,1,0
